epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,104.23487854003906,1207.676571116728,104.18115234375,1,4200.0,1050.0
1.0,0.0,103.45404815673828,893.5840597713695,103.45404815673828,2,4200.0,1050.0
2.0,0.0,100.77924346923828,567.3446762982537,100.77924346923828,3,4200.0,1050.0
3.0,0.0,97.88322448730469,515.9299675436581,97.88322448730469,4,4200.0,1050.0
4.0,0.0,94.43396759033203,481.738764145795,94.43396759033203,5,4200.0,1050.0
5.0,0.0,88.79345703125,450.3662845387178,88.79345703125,6,4200.0,1050.0
6.0,0.0,79.79859161376953,410.5970243566176,79.79859161376953,7,4200.0,1050.0
7.0,0.0,68.6015396118164,351.469825295841,68.6015396118164,8,4200.0,1050.0
8.0,0.0,60.11357116699219,298.53893145392925,60.11357116699219,9,4200.0,1050.0
9.0,0.0,57.18904113769531,265.41026395909927,57.18904113769531,10,4200.0,1050.0
10.0,0.0,55.76177978515625,252.82503105612363,55.76177978515625,11,4200.0,1050.0
11.0,0.0,54.20471954345703,243.64692598230698,54.20471954345703,12,4200.0,1050.0
12.0,0.0,52.679405212402344,234.44370673684512,52.679405212402344,13,4200.0,1050.0
13.0,0.0,51.38685989379883,227.6812214570887,51.38685989379883,14,4200.0,1050.0
14.0,0.0,50.11371994018555,220.12898613424863,50.11371994018555,15,4200.0,1050.0
15.0,0.0,48.96923828125,213.24515757841223,48.96923828125,16,4200.0,1050.0
16.0,0.0,47.897560119628906,207.59754674574907,47.897560119628906,17,4200.0,1050.0
17.0,0.0,46.901981353759766,202.1484698127298,46.901981353759766,18,4200.0,1050.0
18.0,0.0,45.56437683105469,194.60430908203125,45.56437683105469,19,4200.0,1050.0
19.0,0.0,44.51321792602539,187.94441402659697,44.51321792602539,20,4200.0,1050.0
20.0,0.0,43.340660095214844,182.04455207375918,43.340660095214844,21,4200.0,1050.0
21.0,0.0,42.001312255859375,174.45499106014475,42.001312255859375,22,4200.0,1050.0
22.0,0.0,40.65586853027344,167.86670460420495,40.65586853027344,23,4200.0,1050.0
23.0,0.0,39.376182556152344,160.31544225356157,39.376182556152344,24,4200.0,1050.0
24.0,0.0,38.326324462890625,153.46924007640166,38.326324462890625,25,4200.0,1050.0
25.0,0.0,37.05122375488281,148.2180373247932,37.05122375488281,26,4200.0,1050.0
26.0,0.0,36.017417907714844,141.73469722972197,36.017417907714844,27,4200.0,1050.0
27.0,0.0,35.58405303955078,136.55012242934282,35.7305908203125,28,4200.0,1050.0
28.0,0.0,34.82223129272461,131.7676544189453,34.82223129272461,29,4200.0,1050.0
29.0,0.0,34.13197708129883,126.23510113884421,34.17378234863281,30,4200.0,1050.0
30.0,0.0,33.6697998046875,122.5110258214614,33.71991729736328,31,4200.0,1050.0
31.0,0.0,33.13488006591797,118.27628191779641,33.14848327636719,32,4200.0,1050.0
32.0,0.0,32.925880432128906,114.0152489157284,33.07547378540039,33,4200.0,1050.0
33.0,0.0,32.33973693847656,110.22232055664062,32.475242614746094,34,4200.0,1050.0
34.0,0.0,32.121665954589844,105.59352740119485,32.25176239013672,35,4200.0,1050.0
35.0,0.0,31.67096710205078,102.00097117704503,31.85291290283203,36,4200.0,1050.0
36.0,0.0,31.19815444946289,97.8381446389591,31.19815444946289,37,4200.0,1050.0
37.0,0.0,30.776996612548828,93.16238403320312,30.882841110229492,38,4200.0,1050.0
38.0,0.0,30.489728927612305,90.03158569335938,30.782203674316406,39,4200.0,1050.0
39.0,0.0,29.961803436279297,86.0626615636489,30.025070190429688,40,4200.0,1050.0
40.0,0.0,29.74367332458496,81.39039342543659,29.95766830444336,41,4200.0,1050.0
41.0,0.0,29.39531707763672,78.76714549345128,29.68486785888672,42,4200.0,1050.0
42.0,0.0,29.25582504272461,75.11572445140166,29.581893920898438,43,4200.0,1050.0
43.0,0.0,28.90985107421875,72.03497852998622,28.982521057128906,44,4200.0,1050.0
44.0,0.0,28.49228858947754,69.48792244406307,28.638103485107422,45,4200.0,1050.0
45.0,0.0,28.297746658325195,67.30268792545094,28.59920883178711,46,4200.0,1050.0
