actor_entropy,actor_loss,actor_target_entropy,alpha_loss,alpha_value,batch_reward,critic_loss,step
-2.8669713751971724,28.678112122535705,0.0,0.0,0.19999999999999718,-25.555906890869142,2278.793383178711,1000
-6.22896495962143,45.11657129478455,0.0,0.0,0.19999999999999718,-25.559802907943727,6067.109976318359,2000
-7.607120956420898,56.717896213531496,0.0,0.0,0.19999999999999718,-25.623432203292847,17941.05166455078,3000
-8.789233009338378,67.66954755783081,0.0,0.0,0.19999999999999718,-25.647645418167116,33110.403946289065,4000
-10.100841948509217,77.73252344512939,0.0,0.0,0.19999999999999718,-25.61504662322998,49976.152609375,5000
-11.784456046581269,103.69551737213135,0.0,0.0,0.19999999999999718,-21.907591145515443,63754.069421875,6000
-12.806303825378418,121.99614784240723,0.0,0.0,0.19999999999999718,-21.969417332649233,80191.58919921875,7000
-13.604779032707214,136.25643238830565,0.0,0.0,0.19999999999999718,-21.97009088230133,96902.19031445312,8000
-14.512234943389892,143.88927717590332,0.0,0.0,0.19999999999999718,-21.893551518440248,107661.08267382813,9000
-14.98270877456665,145.31829189300538,0.0,0.0,0.19999999999999718,-21.81991246318817,109248.95128125,10000
-16.551403237342836,185.5288802871704,0.0,0.0,0.19999999999999718,-20.487860879898072,123017.9671640625,11000
-16.783693331718446,213.31303538513183,0.0,0.0,0.19999999999999718,-20.518635895729066,167181.46701953124,12000
-17.935302627563477,223.28995263671874,0.0,0.0,0.19999999999999718,-20.682884528160095,191447.0216328125,13000
-18.381491547584535,240.77122340393066,0.0,0.0,0.19999999999999718,-20.59918309211731,222184.0698984375,14000
-18.95091746902466,253.53802416992187,0.0,0.0,0.19999999999999718,-20.41789423751831,241158.587578125,15000
-20.35105786037445,284.54506134033204,0.0,0.0,0.19999999999999718,-19.66332564353943,274468.0714453125,16000
-20.123916776657104,297.7569941711426,0.0,0.0,0.19999999999999718,-19.499044180870055,322335.8927890625,17000
-19.90346144294739,307.6364976043701,0.0,0.0,0.19999999999999718,-19.582261284828185,368157.11790625,18000
-20.44989456939697,316.39541592407227,0.0,0.0,0.19999999999999718,-19.533081151962282,388917.55615625,19000
-20.619632736206054,331.2968737030029,0.0,0.0,0.19999999999999718,-19.519012749671937,434836.070015625,20000
-21.532299018859863,374.49828250122073,0.0,0.0,0.19999999999999718,-19.267206543922423,445976.97996875,21000
