env_step,episode_reward,epoch,rollout_length,step
115999.0,1213.1743858037403,115.0,9.0,116
116999.0,739.8930639849497,116.0,9.0,117
117999.0,2024.1843557191169,117.0,9.0,118
118999.0,1518.269748774981,118.0,9.0,119
119999.0,81.97023245281338,119.0,9.0,120
120999.0,1057.6994847708795,120.0,9.0,121
121999.0,1103.3723872229596,121.0,9.0,122
122999.0,2603.181106329088,122.0,9.0,123
123999.0,2778.3411308122104,123.0,9.0,124
124999.0,2326.6996453521306,124.0,10.0,125
125999.0,5203.860550705154,125.0,10.0,126
126999.0,4608.342305516152,126.0,10.0,127
127999.0,4734.1334135220395,127.0,10.0,128
128999.0,4905.190336823638,128.0,10.0,129
129999.0,6484.388978294907,129.0,10.0,130
130999.0,-446.0662920160818,130.0,10.0,131
131999.0,4425.666137376506,131.0,10.0,132
132999.0,6509.73318413519,132.0,10.0,133
133999.0,3637.5407364948346,133.0,10.0,134
134999.0,4119.332600407482,134.0,10.0,135
135999.0,6040.184271978361,135.0,10.0,136
136999.0,4906.23464543523,136.0,11.0,137
137999.0,6165.382572758785,137.0,11.0,138
138999.0,4351.565564278811,138.0,11.0,139
139999.0,8359.75579077478,139.0,11.0,140
140999.0,8982.38279975278,140.0,11.0,141
141999.0,6685.023426274722,141.0,11.0,142
142999.0,2588.151325745959,142.0,11.0,143
143999.0,7893.628896658119,143.0,11.0,144
144999.0,8329.266501139597,144.0,11.0,145
145999.0,4511.755899748179,145.0,11.0,146
146999.0,9169.78747892454,146.0,11.0,147
147999.0,4627.663928339781,147.0,11.0,148
148999.0,8469.058321775849,148.0,12.0,149
149999.0,11072.582426256593,149.0,12.0,150
150999.0,9279.296908067823,150.0,12.0,151
151999.0,11493.28657526762,151.0,12.0,152
152999.0,10988.397990124933,152.0,12.0,153
153999.0,3797.310966431946,153.0,12.0,154
154999.0,8378.611028690228,154.0,12.0,155
155999.0,12238.026948126608,155.0,12.0,156
156999.0,2894.135690971502,156.0,12.0,157
157999.0,11572.070288452322,157.0,12.0,158
158999.0,12019.236942808213,158.0,12.0,159
159999.0,11276.285581171385,159.0,13.0,160
160999.0,5064.445643950261,160.0,13.0,161
161999.0,5356.977473664182,161.0,13.0,162
162999.0,13507.208906048121,162.0,13.0,163
163999.0,10375.155193924938,163.0,13.0,164
164999.0,10443.41547133815,164.0,13.0,165
165999.0,11546.305354162314,165.0,13.0,166
166999.0,13747.453234058647,166.0,13.0,167
167999.0,4058.9975804355663,167.0,13.0,168
168999.0,16018.695871244168,168.0,13.0,169
169999.0,11175.014213004928,169.0,13.0,170
170999.0,8578.53591111442,170.0,13.0,171
171999.0,12220.682359331957,171.0,14.0,172
172999.0,13357.638448641183,172.0,14.0,173
173999.0,2092.3189015854714,173.0,14.0,174
174999.0,4090.159245710693,174.0,14.0,175
175999.0,13530.022579491239,175.0,14.0,176
176999.0,17136.274057609844,176.0,14.0,177
177999.0,4175.846850905563,177.0,14.0,178
178999.0,15683.87764319591,178.0,14.0,179
179999.0,16396.81482713079,179.0,14.0,180
180999.0,14884.764295411986,180.0,14.0,181
181999.0,17029.901279987484,181.0,14.0,182
182999.0,16556.670159157697,182.0,14.0,183
183999.0,16180.949494499448,183.0,15.0,184
184999.0,17831.32893200325,184.0,15.0,185
185999.0,16677.083572545474,185.0,15.0,186
186999.0,15509.691988334427,186.0,15.0,187
187999.0,16611.482741324187,187.0,15.0,188
188999.0,17620.30063040814,188.0,15.0,189
189999.0,6128.907607921869,189.0,15.0,190
190999.0,19283.954221304335,190.0,15.0,191
191999.0,17401.233256316755,191.0,15.0,192
192999.0,17455.74225638696,192.0,15.0,193
193999.0,17151.234104509633,193.0,15.0,194
194999.0,17939.180506978148,194.0,16.0,195
195999.0,19589.607779682225,195.0,16.0,196
196999.0,18343.80938617272,196.0,16.0,197
197999.0,19676.975747615576,197.0,16.0,198
198999.0,19536.769765331264,198.0,16.0,199
199999.0,19554.333414833396,199.0,16.0,200
200999.0,20924.389319167338,200.0,16.0,201
201999.0,17866.776461145208,201.0,16.0,202
202999.0,18974.678132637906,202.0,16.0,203
203999.0,17687.113418000252,203.0,16.0,204
204999.0,18052.14635197731,204.0,16.0,205
205999.0,16071.545611246405,205.0,16.0,206
206999.0,20734.38829520923,206.0,17.0,207
207999.0,19389.795747255353,207.0,17.0,208
208999.0,19610.685191011977,208.0,17.0,209
