epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.157903254032135,-47.38348855799449,0.20076462626457214,1,240000.0,60000.0
1.0,0.0,0.15676116943359375,-48.633415039160106,0.19237324595451355,2,240000.0,60000.0
2.0,0.0,0.1563102900981903,-48.65880265876429,0.16410709917545319,3,240000.0,60000.0
3.0,0.0,0.1563102900981903,-48.6893304853297,0.17201629281044006,4,240000.0,60000.0
4.0,0.0,0.1563102900981903,-48.6962736817057,0.16592416167259216,5,240000.0,60000.0
5.0,0.0,0.1563102900981903,-48.66431280595661,0.18339380621910095,6,240000.0,60000.0
6.0,0.0,0.1563102900981903,-48.50186101917519,0.1781129240989685,7,240000.0,60000.0
7.0,0.0,0.1563102900981903,-48.7179889272271,0.17719188332557678,8,240000.0,60000.0
8.0,0.0,0.1563102900981903,-48.70887902347264,0.17068932950496674,9,240000.0,60000.0
9.0,0.0,0.1563102900981903,-48.722116169390645,0.18702885508537292,10,240000.0,60000.0
10.0,0.0,0.1563102900981903,-48.692007882254465,0.18317943811416626,11,240000.0,60000.0
11.0,0.0,0.1563102900981903,-48.7152610974017,0.18278762698173523,12,240000.0,60000.0
12.0,0.0,0.1563102900981903,-48.70805608590783,0.17338313162326813,13,240000.0,60000.0
0.0,1.0,0.16297245025634766,-48.011902176749224,0.19009634852409363,14,240000.0,60000.0
1.0,1.0,0.1623440384864807,-48.544854097020654,0.18168750405311584,15,240000.0,60000.0
2.0,1.0,0.1617349237203598,-48.65157273379979,0.20287951827049255,16,240000.0,60000.0
3.0,1.0,0.1617349237203598,-48.6759032023741,0.17361894249916077,17,240000.0,60000.0
4.0,1.0,0.1617349237203598,-48.67124302097475,0.18464618921279907,18,240000.0,60000.0
5.0,1.0,0.16152459383010864,-48.65727225753036,0.18940187990665436,19,240000.0,60000.0
6.0,1.0,0.16106213629245758,-48.62924154480891,0.18342526257038116,20,240000.0,60000.0
7.0,1.0,0.16106213629245758,-48.67616818962829,0.19992659986019135,21,240000.0,60000.0
8.0,1.0,0.16106213629245758,-48.615633035265304,0.20994144678115845,22,240000.0,60000.0
9.0,1.0,0.16106213629245758,-48.681694270705364,0.18818068504333496,23,240000.0,60000.0
10.0,1.0,0.16106213629245758,-48.70677737742345,0.2460629940032959,24,240000.0,60000.0
11.0,1.0,0.16106213629245758,-48.66591116004407,0.1868756115436554,25,240000.0,60000.0
12.0,1.0,0.16106213629245758,-48.657688031064424,0.24113622307777405,26,240000.0,60000.0
13.0,1.0,0.16106213629245758,-48.64221417929318,0.22454416751861572,27,240000.0,60000.0
14.0,1.0,0.16106213629245758,-48.72605785784691,0.22498027980327606,28,240000.0,60000.0
15.0,1.0,0.16106213629245758,-48.717847840364044,0.18369139730930328,29,240000.0,60000.0
16.0,1.0,0.16106213629245758,-48.74576791466426,0.19131730496883392,30,240000.0,60000.0
0.0,2.0,0.17490816116333008,-48.16461040927911,0.210789293050766,31,240000.0,60000.0
1.0,2.0,0.166802778840065,-48.503706787695,0.17732056975364685,32,240000.0,60000.0
2.0,2.0,0.166802778840065,-48.60928755884232,0.1831250637769699,33,240000.0,60000.0
3.0,2.0,0.16576841473579407,-48.56986471229016,0.19440291821956635,34,240000.0,60000.0
4.0,2.0,0.16576841473579407,-48.61292744292888,0.18005327880382538,35,240000.0,60000.0
5.0,2.0,0.1645146757364273,-48.56483014560203,0.19601456820964813,36,240000.0,60000.0
6.0,2.0,0.16331614553928375,-48.59965583459655,0.18677660822868347,37,240000.0,60000.0
7.0,2.0,0.16331614553928375,-48.634617905118574,0.1762402057647705,38,240000.0,60000.0
8.0,2.0,0.16331614553928375,-48.66000591920637,0.18913151323795319,39,240000.0,60000.0
9.0,2.0,0.16331614553928375,-48.56217700331958,0.21639373898506165,40,240000.0,60000.0
10.0,2.0,0.16331614553928375,-48.630076654430134,0.18917231261730194,41,240000.0,60000.0
11.0,2.0,0.16331614553928375,-48.61404908999705,0.20239849388599396,42,240000.0,60000.0
12.0,2.0,0.16331614553928375,-48.678665860629536,0.23018360137939453,43,240000.0,60000.0
13.0,2.0,0.16331614553928375,-48.668433573708604,0.2169041633605957,44,240000.0,60000.0
14.0,2.0,0.16331614553928375,-48.64873417201581,0.20319272577762604,45,240000.0,60000.0
